"Year","Source Name","ORIS Code","Unit ID","State","State Identifier","Control Period","Op Time","Op Hours","CO2 Mass (Tons)","Heat Input (mmBtu)","Eligible Biomass (Tons) (State Value)","Eligible CHP Thermal Output (Tons) (State Value)","Reporting Status"
2009,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2009 - 12/31/2011",320.37,466,"8,816.913","109,463",0.000,0.000,"Complete"
2010,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2009 - 12/31/2011",493.78,700,"13,298.557","165,437",0.000,0.000,"Complete"
2011,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2009 - 12/31/2011",564.91,778,"17,420.909","216,957",0.000,0.000,"Complete"
2012,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2012 - 12/31/2014",208.96,324,"5,289.988","70,888",0.000,0.000,"Complete"
2013,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2012 - 12/31/2014",292.71,449,"8,958.307","111,010",0.000,0.000,"Complete"
2014,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2012 - 12/31/2014",616.21,892,"19,050.855","236,292",0.000,0.000,"Complete"
2015,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2015 - 12/31/2017",657.88,916,"19,864.985","255,009",0.000,0.000,"Complete"
2016,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2015 - 12/31/2017",428.32,639,"12,993.180","166,685",0.000,0.000,"Complete"
2017,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2015 - 12/31/2017",661.36,872,"19,916.575","269,398",0.000,0.000,"Complete"
2018,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2018 - 12/31/2020",605.86,812,"17,662.234","243,671",0.000,0.000,"Complete"
2019,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2018 - 12/31/2020",126.38,234,"3,420.352","47,345",0.000,0.000,"Complete"
2020,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2018 - 12/31/2020",347.14,530,"9,750.459","128,701",0.000,0.000,"Complete"
2021,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2021 - 12/31/2023",237.88,386,"7,228.231","89,143",0.000,0.000,"Complete"
2022,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2021 - 12/31/2023",319.09,483,"9,680.856","121,498",0.000,0.000,"Complete"
2023,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2021 - 12/31/2023",257.13,418,"8,382.876","105,479",0.000,0.000,"Complete"
2024,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2024 - 12/31/2026",164.98,294,"5,133.978","64,488",0.000,0.000,"Complete"
