facilityId,unitId,stateCode,year,quarter,gross_mwh,co2_tons,rggi_obligated,camd_rggi_program,coats_unit_match,coats_facility_match,source,yoy_pct_applied
540,10,CT,2020,2,41.14,,False,False,False,False,cems_actual,
540,10,CT,2020,3,39.19,,False,False,False,False,cems_actual,
540,10,CT,2021,2,29.26,,False,False,False,False,cems_actual,
540,10,CT,2021,3,98.12,,False,False,False,False,cems_actual,
540,10,CT,2022,2,11.28,,False,False,False,False,cems_actual,
540,10,CT,2022,3,62.32,,False,False,False,False,cems_actual,
540,10,CT,2023,2,,,False,False,False,False,cems_actual,
540,10,CT,2023,3,36.62,,False,False,False,False,cems_actual,
540,10,CT,2024,2,22.41,,False,False,False,False,cems_actual,
540,10,CT,2024,3,22.6,,False,False,False,False,cems_actual,
540,10,CT,2025,2,186.64,,False,False,False,False,cems_actual,
540,10,CT,2025,3,,,False,False,False,False,cems_actual,
540,10,CT,2026,2,373.28,,False,False,False,False,cems_extended,1.0
540,10,CT,2026,3,,,False,False,False,False,cems_extended,1.0
542,10,CT,2020,2,20.91,,False,False,False,False,cems_actual,
542,10,CT,2020,3,61.04,,False,False,False,False,cems_actual,
542,10,CT,2021,2,71.85,,False,False,False,False,cems_actual,
542,10,CT,2021,3,47.56,,False,False,False,False,cems_actual,
542,10,CT,2022,2,23.05,,False,False,False,False,cems_actual,
542,10,CT,2022,3,,,False,False,False,False,cems_actual,
542,10,CT,2023,2,40.71,,False,False,False,False,cems_actual,
542,10,CT,2023,3,89.13,,False,False,False,False,cems_actual,
542,10,CT,2024,2,0.0,,False,False,False,False,cems_actual,
542,10,CT,2024,3,51.43,,False,False,False,False,cems_actual,
542,10,CT,2025,2,1.48,,False,False,False,False,cems_actual,
542,10,CT,2025,3,109.58,,False,False,False,False,cems_actual,
542,10,CT,2026,2,2.96,,False,False,False,False,cems_extended,1.0
542,10,CT,2026,3,219.16,,False,False,False,False,cems_extended,1.0
542,11,CT,2020,2,21.06,,False,False,False,False,cems_actual,
542,11,CT,2020,3,49.41,,False,False,False,False,cems_actual,
542,11,CT,2021,2,2.7,,False,False,False,False,cems_actual,
542,11,CT,2021,3,50.94,,False,False,False,False,cems_actual,
542,11,CT,2022,2,24.07,,False,False,False,False,cems_actual,
542,11,CT,2022,3,11.33,,False,False,False,False,cems_actual,
542,11,CT,2023,2,56.9,,False,False,False,False,cems_actual,
542,11,CT,2023,3,85.74,,False,False,False,False,cems_actual,
542,11,CT,2024,2,0.0,,False,False,False,False,cems_actual,
542,11,CT,2024,3,22.33,,False,False,False,False,cems_actual,
542,11,CT,2025,2,187.67,,False,False,False,False,cems_actual,
542,11,CT,2025,3,216.88,,False,False,False,False,cems_actual,
542,11,CT,2026,2,375.34,,False,False,False,False,cems_extended,1.0
542,11,CT,2026,3,433.76,,False,False,False,False,cems_extended,1.0
542,12,CT,2020,2,,,False,False,False,False,cems_actual,
542,12,CT,2020,3,45.0,,False,False,False,False,cems_actual,
542,12,CT,2021,2,1.5,,False,False,False,False,cems_actual,
542,12,CT,2021,3,55.02,,False,False,False,False,cems_actual,
542,12,CT,2022,2,23.45,,False,False,False,False,cems_actual,
542,12,CT,2022,3,,,False,False,False,False,cems_actual,
542,12,CT,2023,2,40.38,,False,False,False,False,cems_actual,
542,12,CT,2023,3,160.93,,False,False,False,False,cems_actual,
542,12,CT,2024,2,21.4,,False,False,False,False,cems_actual,
542,12,CT,2024,3,34.24,,False,False,False,False,cems_actual,
542,12,CT,2025,2,88.72,,False,False,False,False,cems_actual,
