state,year,quarter,regime,group,n_plants,co2_tons,gross_mwh,co2_lb_per_mwh,nameplate_mw,gross_mwh_capmatched,capacity_factor
CT,2020,1,oblig_2020,all,17.0,2254680.261,4960657.77,909.0247162928155,7477.700000000001,4960657.77,0.30375161450742844
CT,2020,1,oblig_2020,covered,17.0,2254680.261,4960657.77,909.0247162928155,7477.700000000001,4960657.77,0.30375161450742844
CT,2020,2,oblig_2020,all,24.0,2206569.5579999997,4906592.640000001,899.4305090711583,7767.2,4906592.640000001,0.289243015713301
CT,2020,2,oblig_2020,covered,17.0,2206569.5579999997,4906235.890000001,899.4959098878547,7477.700000000001,4906235.890000001,0.30041924717209234
CT,2020,2,oblig_2020,not_covered,7.0,0.0,356.75,0.0,289.5,356.75,0.0005642385823732974
CT,2020,3,oblig_2020,all,24.0,2803428.8219999997,6177661.790000001,907.601910657527,7767.2,6177661.790000001,0.3602139859354686
CT,2020,3,oblig_2020,covered,17.0,2803428.8219999997,6176718.9,907.7404581257532,7477.700000000001,6176718.9,0.37410260348014474
CT,2020,3,oblig_2020,not_covered,7.0,0.0,942.89,0.0,289.5,942.89,0.0014750725889214288
CT,2020,4,oblig_2020,all,17.0,2168357.494,4775278.71,908.1595549425009,7477.700000000001,4775278.71,0.2892221949349689
CT,2020,4,oblig_2020,covered,17.0,2168357.494,4775278.71,908.1595549425009,7477.700000000001,4775278.71,0.2892221949349689
CT,2021,1,oblig_2021q1_2022q2,all,17.0,2532160.489,5410289.47,936.053607867307,7477.700000000001,5410289.47,0.3349644467574947
CT,2021,1,oblig_2021q1_2022q2,covered,17.0,2532160.489,5410289.47,936.053607867307,7477.700000000001,5410289.47,0.3349644467574947
CT,2021,2,oblig_2021q1_2022q2,all,23.0,2222676.818,4989619.37,890.9203901859953,7563.366666666667,4989619.37,0.30206445811120314
CT,2021,2,oblig_2021q1_2022q2,covered,16.0,2222676.818,4989412.859999999,890.9572650598412,7273.866666666667,4989412.859999999,0.3140736285793247
CT,2021,2,oblig_2021q1_2022q2,not_covered,7.0,0.0,206.51,0.0,289.5,206.51,0.0003266178266178266
