oris,facility_name,state,coats_unit,cems_unit,status
10567,"Ahlstrom Power Windsor Locks, LLC",CT,GT1,GT1,matched
544,Devon,CT,,10,cems_only
544,Devon,CT,11,11,matched
544,Devon,CT,12,12,matched
544,Devon,CT,13,13,matched
544,Devon,CT,14,14,matched
544,Devon,CT,15,15,matched
544,Devon,CT,16,16,matched
544,Devon,CT,17,17,matched
544,Devon,CT,18,18,matched
546,Montville,CT,5,5,matched
546,Montville,CT,6,6,matched
54605,"Pratt & Whitney, East Hartford",CT,001,001,matched
55042,Bridgeport Energy,CT,BE1,BE1,matched
55042,Bridgeport Energy,CT,BE2,BE2,matched
55126,Milford Power Company LLC,CT,CT01,CT01,matched
55126,Milford Power Company LLC,CT,CT02,CT02,matched
55149,Lake Road Generating Company,CT,LRG1,LRG1,matched
55149,Lake Road Generating Company,CT,LRG2,LRG2,matched
55149,Lake Road Generating Company,CT,LRG3,LRG3,matched
55517,"Wallingford Energy, LLC",CT,CT01,CT01,matched
55517,"Wallingford Energy, LLC",CT,CT02,CT02,matched
55517,"Wallingford Energy, LLC",CT,CT03,CT03,matched
55517,"Wallingford Energy, LLC",CT,CT04,CT04,matched
55517,"Wallingford Energy, LLC",CT,CT05,CT05,matched
55517,"Wallingford Energy, LLC",CT,CT06,CT06,matched
55517,"Wallingford Energy, LLC",CT,CT07,CT07,matched
56047,CPV Towantic Energy Center,CT,1,1,matched
56047,CPV Towantic Energy Center,CT,2,2,matched
562,Middletown,CT,,10,cems_only
562,Middletown,CT,12,12,matched
562,Middletown,CT,13,13,matched
562,Middletown,CT,14,14,matched
562,Middletown,CT,15,15,matched
562,Middletown,CT,2,2,matched
562,Middletown,CT,3,3,matched
562,Middletown,CT,4,4,matched
56629,Waterbury Generation,CT,10,10,matched
56798,Kleen Energy Systems Project,CT,U1,U1,matched
56798,Kleen Energy Systems Project,CT,U2,U2,matched
568,Bridgeport Harbor Station,CT,,BHB4,cems_only
568,Bridgeport Harbor Station,CT,BHB1,,coats_only
568,Bridgeport Harbor Station,CT,BHB2,,coats_only
568,Bridgeport Harbor Station,CT,BHB3,BHB3,matched
568,Bridgeport Harbor Station,CT,BHB5,BHB5,matched
6156,New Haven Harbor,CT,NHB1,NHB1,matched
6156,New Haven Harbor,CT,NHHS2,NHHS2,matched
6156,New Haven Harbor,CT,NHHS3,NHHS3,matched
6156,New Haven Harbor,CT,NHHS4,NHHS4,matched
6635,Alfred L Pierce Generating Station,CT,AP-1,AP-1,matched
10030,Energy Center Dover LLC,DE,2,2,matched
10030,Energy Center Dover LLC,DE,3,3,matched
52193,Delaware City Refinery,DE,,DCPP4,cems_only
52193,Delaware City Refinery,DE,CCU 1,,coats_only
52193,Delaware City Refinery,DE,CCU 2,,coats_only
52193,Delaware City Refinery,DE,TURBINE GENERATORS,,coats_only
57349,Garrison Energy Center,DE,2,,coats_only
57349,Garrison Energy Center,DE,1,1,matched
591,Christiana Substation,DE,11,11,matched
591,Christiana Substation,DE,14,14,matched
593,Edge Moor,DE,,10,cems_only
593,Edge Moor,DE,3,3,matched
593,Edge Moor,DE,4,4,matched
593,Edge Moor,DE,5,5,matched
594,Indian River,DE,,10,cems_only
594,Indian River,DE,1,,coats_only
594,Indian River,DE,2,,coats_only
594,Indian River,DE,3,,coats_only
594,Indian River,DE,4,4,matched
7153,Hay Road,DE,**3,**3,matched
7153,Hay Road,DE,1,1,matched
7153,Hay Road,DE,2,2,matched
7153,Hay Road,DE,5,5,matched
7153,Hay Road,DE,6,6,matched
7153,Hay Road,DE,7,7,matched
7318,Van Sant,DE,**11,**11,matched
7962,Warren F. Sam Beasley Pwr Station,DE,1,1,matched
7962,Warren F. Sam Beasley Pwr Station,DE,2,2,matched
10176,MBTA South Boston Power Facility,MA,A,A,matched
10176,MBTA South Boston Power Facility,MA,B,B,matched
10307,Bellingham,MA,1,1,matched
10307,Bellingham,MA,2,2,matched
10726,MASSPOWER,MA,1,1,matched
10726,MASSPOWER,MA,2,2,matched
10823,Deer Island Treatment,MA,S42,S42,matched
10823,Deer Island Treatment,MA,S43,S43,matched
1588,Mystic,MA,,MJ-1,cems_only
1588,Mystic,MA,4,,coats_only
1588,Mystic,MA,5,,coats_only
1588,Mystic,MA,6,,coats_only
1588,Mystic,MA,7,7,matched
1588,Mystic,MA,81,81,matched
1588,Mystic,MA,82,82,matched
1588,Mystic,MA,93,93,matched
1588,Mystic,MA,94,94,matched
1592,Medway Station,MA,J1T1,J1T1,matched
1592,Medway Station,MA,J1T2,J1T2,matched
1592,Medway Station,MA,J2T1,J2T1,matched
1592,Medway Station,MA,J2T2,J2T2,matched
1592,Medway Station,MA,J3T1,J3T1,matched
1592,Medway Station,MA,J3T2,J3T2,matched
1595,Kendall Green Energy LLC,MA,,S6,cems_only
1595,Kendall Green Energy LLC,MA,1,,coats_only
1595,Kendall Green Energy LLC,MA,2,2,matched
1595,Kendall Green Energy LLC,MA,3,3,matched
1595,Kendall Green Energy LLC,MA,4,4,matched
1599,Canal Station,MA,1,1,matched
1599,Canal Station,MA,2,2,matched
1599,Canal Station,MA,3,3,matched
1660,Potter,MA,3,3,matched
1660,Potter,MA,4,4,matched
1660,Potter,MA,5,5,matched
1678,Waters River,MA,,1,cems_only
1678,Waters River,MA,2,2,matched
1682,Cleary Flood,MA,8,8,matched
1682,Cleary Flood,MA,9,9,matched
50002,Pittsfield Generating,MA,1,1,matched
50002,Pittsfield Generating,MA,2,2,matched
50002,Pittsfield Generating,MA,3,3,matched
52026,Dartmouth Power,MA,,2,cems_only
52026,Dartmouth Power,MA,1,1,matched
54805,"Milford Power, LLC",MA,1,1,matched
55026,Dighton,MA,1,1,matched
55041,Berkshire Power,MA,1,1,matched
55079,Millennium Power,MA,1,1,matched
55211,Bellingham Power Generation LLC,MA,1,1,matched
55211,Bellingham Power Generation LLC,MA,2,2,matched
55212,Blackstone Power Generation LLC,MA,1,1,matched
55212,Blackstone Power Generation LLC,MA,2,2,matched
55317,Fore River Energy Center,MA,11,11,matched
55317,Fore River Energy Center,MA,12,12,matched
59882,Exelon West Medway II,MA,J4,J4,matched
59882,Exelon West Medway II,MA,J5,J5,matched
6081,Stony Brook Energy Center,MA,001,001,matched
6081,Stony Brook Energy Center,MA,002,002,matched
6081,Stony Brook Energy Center,MA,003,003,matched
6081,Stony Brook Energy Center,MA,004,004,matched
6081,Stony Brook Energy Center,MA,005,005,matched
60903,Salem Harbor Station NGCC,MA,1,1,matched
