oris,cems_unit,coats_unit,state,facility_name,coats_linked,oblig_pre2009,oblig_2020,oblig_2021q1_2022q2,oblig_2022q3_2023q4,oblig_2024q1_2026q2,oblig_2026q3_on
10567,GT1,GT1,CT,"Ahlstrom Power Windsor Locks, LLC",True,False,True,True,True,True,True
50498,GT,,CT,Capitol District Energy Center,True,False,True,True,True,True,True
540,10,,CT,Branford,False,False,False,False,False,False,False
542,10,,CT,Cos Cob,False,False,False,False,False,False,False
542,11,,CT,Cos Cob,False,False,False,False,False,False,False
542,12,,CT,Cos Cob,False,False,False,False,False,False,False
542,13,,CT,Cos Cob,False,False,False,False,False,False,False
542,14,,CT,Cos Cob,False,False,False,False,False,False,False
544,10,,CT,Devon,True,False,True,True,True,True,True
544,11,11,CT,Devon,True,False,True,True,True,True,True
544,12,12,CT,Devon,True,False,True,True,True,True,True
544,13,13,CT,Devon,True,False,True,True,True,True,True
544,14,14,CT,Devon,True,False,True,True,True,True,True
544,15,15,CT,Devon,True,False,True,True,True,True,True
544,16,16,CT,Devon,True,False,True,True,True,True,True
544,17,17,CT,Devon,True,False,True,True,True,True,True
544,18,18,CT,Devon,True,False,True,True,True,True,True
546,5,5,CT,Montville,True,False,True,True,True,True,True
546,6,6,CT,Montville,True,False,True,True,True,True,True
54605,001,001,CT,"Pratt & Whitney, East Hartford",True,False,True,True,True,True,True
55042,BE1,BE1,CT,Bridgeport Energy,True,False,True,True,True,True,True
55042,BE2,BE2,CT,Bridgeport Energy,True,False,True,True,True,True,True
55126,CT01,CT01,CT,Milford Power Company LLC,True,False,True,True,True,True,True
55126,CT02,CT02,CT,Milford Power Company LLC,True,False,True,True,True,True,True
55149,LRG1,LRG1,CT,Lake Road Generating Company,True,False,True,True,True,True,True
55149,LRG2,LRG2,CT,Lake Road Generating Company,True,False,True,True,True,True,True
55149,LRG3,LRG3,CT,Lake Road Generating Company,True,False,True,True,True,True,True
55517,CT01,CT01,CT,"Wallingford Energy, LLC",True,False,True,True,True,True,True
