quarter_label,covered_co2_tons,covered_lb_per_mwh,notcovered_co2_tons,all_co2_tons,all_lb_per_mwh
2020Q1,7369174.952,881.0,366350.039,7735524.991,925.0
2020Q2,6712526.5540000005,884.0,274342.218,6986868.772,921.0
2020Q3,10609453.36,1043.0,391311.117,11000764.477,1081.0
2020Q4,6663625.961,974.0,366434.763,7030060.724,1027.0
2021Q1,6788434.837,962.0,436300.271,7224735.108,1024.0
2021Q2,5879402.555,907.0,531047.495,6410450.05,989.0
2021Q3,8319653.417,1036.0,542636.353,8862289.77,1103.0
2021Q4,5716705.302,948.0,415810.537,6132515.839,1017.0
2022Q1,6058506.243,1006.0,541180.901,6599687.144,1096.0
2022Q2,5013614.25,1001.0,521188.675,5534802.925,1105.0
2022Q3,8053750.822,986.0,538398.2390000001,8592149.061,1052.0
2022Q4,6072056.292,941.0,475841.389,6547897.681,1015.0
2023Q1,5831819.542,918.0,491332.36600000004,6323151.908,996.0
2023Q2,4930601.572,941.0,521751.689,5452353.261,1041.0
2023Q3,7699484.033,916.0,509255.82,8208739.853,977.0
2023Q4,5128384.508,905.0,438226.365,5566610.873,982.0
2024Q1,7556669.41,890.0,514291.484,8070960.894,951.0
2024Q2,6161475.737,968.0,511154.363,6672630.1,1049.0
2024Q3,8970988.553,936.0,463553.756,9434542.309,985.0
2024Q4,6235509.005,960.0,367252.035,6602761.04,1016.0
2025Q1,8258910.509,957.0,485665.236,8744575.745,1013.0
2025Q2,6253152.229,953.0,404124.124,6657276.353,1014.0
2025Q3,9755124.276,994.0,514449.55,10269573.826,1046.0
2025Q4,7242984.674000001,1058.0,445335.42,7688320.0940000005,1123.0
